英単語(cluster)	発音記号	意味	例文（ほとんど同じ単語を使用したもの）	例文（少し単語を変更したもの）	補足説明（1単語の意味や一緒に覚えたほうが良い単語等）
a complicated operation	ə ˈkɑmpləˌkeɪtəd ˌɑpəˈreɪʃən	複雑な手術（操作）	The doctor performed a complicated operation.	It was a complicated operation, but it succeeded.	complicated: 複雑な。operation: 手術、操作
qualify as a doctor	ˈkwɑləˌfaɪ æz ə ˈdɑktər	医師としての資格を得る	It takes years to qualify as a doctor.	She recently qualified as a doctor.	qualify: 資格を得る、適任である
a school nurse	ə skul nɜrs	保健室の先生（養護教諭）	The school nurse gave me a bandage.	I went to see a school nurse.	nurse: 看護師
swallow medicine	ˈswɑloʊ ˈmɛdəsən	薬を飲み込む	It is hard for kids to swallow medicine.	Swallow medicine with plenty of water.	swallow: 飲み込む、ツバメ
relieve a cough	rɪˈliv ə kɔf	咳を和らげる	This syrup will relieve a cough.	Drink hot tea to relieve a cough.	relieve: （痛みなどを）和らげる、安心させる。cough: 咳
a remedy for colds	ə ˈrɛmədi fɔr koʊldz	風邪の治療法（薬）	Ginger is a good natural remedy for colds.	He bought a remedy for colds.	remedy: 治療法、改善策
a deadly poison	ə ˈdɛdli ˈpɔɪzən	致命的な毒	The snake's bite contains a deadly poison.	He drank a deadly poison by mistake.	deadly: 致命的な（形容詞）。poison: 毒
a bee sting	ə bi stɪŋ	ハチの刺し傷	A bee sting can be very painful.	He is allergic to a bee sting.	sting: 刺すこと、刺し傷（動詞も sting）。
a broken bone	ə ˈbroʊkən boʊn	骨折（折れた骨）	He went to the hospital for a broken bone.	It takes time to heal a broken bone.	break a bone で「骨折する」。
a patient in a hospital	ə ˈpeɪʃənt ɪn ə ˈhɑspɪtəl	病院の患者	She works hard to care for a patient in a hospital.	He was a patient in a hospital for weeks.	patient: 患者、忍耐強い（形容詞）
feel rather ill	fil ˈræðər ɪl	かなり気分が悪い（病気である）	I feel rather ill today.	He went home because he felt rather ill.	rather: かなり、だいぶ。ill: 病気で（sickよりフォーマル）
hurt my leg	hɜrt maɪ lɛg	脚を痛める（怪我をする）	I hurt my leg playing soccer.	She fell and hurt her leg.	hurt: 痛める、傷つける（過去形・過去分詞も hurt）。
a stomach ache	ə ˈstʌmək eɪk	腹痛、胃痛	I ate too much and got a stomach ache.	He is suffering from a stomach ache.	stomach: 胃、お腹
the knee joint	ðə ni dʒɔɪnt	膝の関節	He injured the knee joint.	The knee joint allows you to bend your leg.	joint: 関節、接合部
have a sore throat	hæv ə sɔr θroʊt	喉が痛い	I have a sore throat and a cough.	He had a sore throat yesterday.	throat: 喉
cure a disease of the lungs	kjʊr ə dɪˈziz ʌv ðə lʌŋz	肺の病気を治す	It is hard to cure a disease of the lungs.	New medicine can cure a disease of the lungs.	cure: （病気を）治す。disease: 病気。lung: 肺
have a mild fever	hæv ə maɪld ˈfivər	微熱がある	I think I have a mild fever.	The baby had a mild fever last night.	mild: 軽い、穏やかな。fever: 熱
have a chest cold	hæv ə tʃɛst koʊld	胸の風邪（気管支炎など）にかかる	I have a chest cold and cannot stop coughing.	He missed work because he had a chest cold.	chest: 胸。
do no bodily harm	du noʊ ˈbɑdəli hɑrm	身体的な危害を加えない	The dog will do no bodily harm to you.	The chemical does no bodily harm.	bodily: 身体の。harm: 害、危害
heal a wound	hil ə wund	傷を治す（癒やす）	Time will heal a wound.	The ointment helps heal a wound quickly.	heal: （怪我や病気が）治る、癒やす。wound: （刃物や武器による）傷
an ugly scrape	ən ˈʌgli skreɪp	ひどい（見苦しい）擦り傷	He got an ugly scrape on his knee.	She covered an ugly scrape with a bandage.	ugly: 見苦しい、醜い。scrape: 擦り傷
a rescue vehicle	ə ˈrɛskju ˈvihɪkəl	救助車両	A rescue vehicle arrived at the scene.	They sent a rescue vehicle immediately.	rescue: 救助。vehicle: 乗り物、車両
medical instruments	ˈmɛdəkəl ˈɪnstrəmənts	医療器具	The doctor sterilized the medical instruments.	They use advanced medical instruments.	medical: 医療の。instrument: 器具、楽器
have a heart attack	hæv ə hɑrt əˈtæk	心臓発作を起こす	He had a heart attack and was rushed to the hospital.	Smoking increases the risk of having a heart attack.	heart attack: 心臓発作
blow my nose	bloʊ maɪ noʊz	鼻をかむ	I need a tissue to blow my nose.	He blew his nose loudly.	blow: 吹く（過去形 blew）。
have a bloody nose	hæv ə ˈblʌdi noʊz	鼻血が出る	I got hit and had a bloody nose.	The dry air gave him a bloody nose.	bloody: 血の出ている、血まみれの。get a nosebleed とも言う。
weigh myself	weɪ maɪˈsɛlf	自分の体重を量る	I weigh myself every morning.	She weighs herself once a week.	※5番と重複。weigh: 重さを量る
break my right arm	breɪk maɪ raɪt ɑrm	右腕を骨折する	I fell and broke my right arm.	He broke his right arm while snowboarding.	
wash my hair	wɑʃ maɪ hɛr	髪を洗う	I wash my hair every day.	She washed her hair before going out.	
a sore wrist	ə sɔr rɪst	手首の痛み	Typing too much gave me a sore wrist.	He complained of a sore wrist.	wrist: 手首
bend my knee	bɛnd maɪ ni	膝を曲げる	I can't bend my knee because of the injury.	Bend your knee and touch your toes.	bend: 曲げる。knee: 膝
have a full stomach	hæv ə fʊl ˈstʌmək	お腹がいっぱいである	I have a full stomach after that big meal.	I can't run because I have a full stomach.	full: いっぱいの、満腹の。
internal organs	ɪnˈtɜrnəl ˈɔrgənz	内臓	Alcohol can damage your internal organs.	The doctor checked his internal organs.	internal: 内部の。organ: 臓器、器官
grow a beard	groʊ ə bɪrd	あごひげを伸ばす	He decided to grow a beard.	My father grows a beard in winter.	grow: 伸ばす、育てる。beard: あごひげ（口ひげは mustache）。
male and female	meɪl ænd ˈfimeɪl	オスとメス、男性と女性	The survey covers both male and female participants.	This bird species looks different in male and female.	male: オス、男性。female: メス、女性
punch in the nose	pʌntʃ ɪn ðə noʊz	鼻を殴る	He punched him in the nose.	I got a punch in the nose.	punch: 殴る。パンチ。
have curly hair	hæv ˈkɜrli hɛr	くせ毛（巻き毛）である	She has beautiful curly hair.	I used to have curly hair when I was a kid.	curly: カールした。直毛は straight hair。
have small feet	hæv smɔl fit	足（のサイズ）が小さい	It is hard to find shoes because I have small feet.	She has very small feet.	footの複数形がfeet。靴のサイズなどを指す。
four fingers and one thumb	fɔr ˈfɪŋgərz ænd wʌn θʌm	4本の指と1本の親指	A hand has four fingers and one thumb.	He held it with four fingers and one thumb.	英語では親指(thumb)をfingerに含めず区別することが多い。
smooth skin	smuð skɪn	滑らかな肌	Babies have very smooth skin.	This lotion gives you smooth skin.	smooth: 滑らかな
kiss her lips	kɪs hɜr lɪps	彼女の唇にキスをする	He gently kissed her lips.	She closed her eyes as he kissed her lips.	lip: 唇（上下あるので通常複数形）。
comb my hair	koʊm maɪ hɛr	髪をとかす	I comb my hair in the morning.	He combed his hair neatly.	comb: クシ、髪をとかす（bは発音しない）。brush my hairはブラシでとかすこと。
have upper back pain	hæv ˈʌpər bæk peɪn	背中の上部が痛む	I have upper back pain from sitting too long.	She went to a clinic for her upper back pain.	upper: 上の方の。pain: 痛み
use my brains	juz maɪ breɪnz	頭脳（知恵）を使う	I need to use my brains to solve this puzzle.	Use your brains before you speak.	brain: 脳。知能や知恵を指す時は複数形で使うことがある。
have broad shoulders	hæv brɔd ˈʃoʊldərz	肩幅が広い	Swimmers usually have broad shoulders.	He has broad shoulders and a strong back.	broad: 広い。shoulder: 肩
an artificial tooth	ən ˌɑrtəˈfɪʃəl tuθ	人工の歯（義歯）	The dentist put in an artificial tooth.	He lost a tooth and got an artificial tooth.	artificial: 人工の
take shelter from the rain	teɪk ˈʃɛltər frʌm ðə reɪn	雨宿りをする	We had to take shelter from the rain.	They took shelter from the rain under a tree.	※34番とほぼ重複。shelter: 避難所
put up my umbrella	pʊt ʌp maɪ əmˈbrɛlə	傘をさす	It started raining, so I put up my umbrella.	She put up her umbrella.	put up: （傘を）開いてさす。
let up	lɛt ʌp	（雨や雪などが）弱まる、やむ	The rain won't let up.	Let's wait until the storm lets up.	let up: 和らぐ、手を抜く
chance of rain	tʃæns ʌv reɪn	降水確率、雨の可能性	There is a 30% chance of rain today.	The weather forecast says high chance of rain.	chance: 可能性、見込み
sudden rain	ˈsʌdən reɪn	にわか雨、突然の雨	We were caught in a sudden rain.	A sudden rain ruined our picnic.	sudden: 突然の
have terrible weather	hæv ˈtɛrəbəl ˈwɛðər	ひどい天気である	We had terrible weather during our trip.	I hope we don't have terrible weather tomorrow.	terrible: ひどい、恐ろしい。weather: 天気
experience extreme cold	ɪkˈspɪriəns ɪkˈstrim koʊld	極寒（極度の寒さ）を経験する	We experienced extreme cold in the mountains.	Animals survive extreme cold in winter.	extreme: 極度の。cold: 寒さ
the rays of the sun	ðə reɪz ʌv ðə sʌn	日差し	The rays of the sun warmed the room.	Protect your skin from the harmful rays of the sun.	ray: 光線
reflect a beam of light	rɪˈflɛkt ə bim ʌv laɪt	光を反射する	The mirror can reflect a beam of light.	Water droplets reflect a beam of light.	reflect: 反射する。beam: 光線
freeze at zero degrees Centigrade	friz æt ˈzɪroʊ dɪˈgriz ˈsɛntəˌgreɪd	摂氏0度で凍る	Water freezes at zero degrees Centigrade.	It's so cold it could freeze at zero degrees Centigrade.	freeze: 凍る。Centigrade: 摂氏（Celsiusと同義）。
loud thunder	laʊd ˈθʌndər	騒々しい雷	The loud thunder woke me up.	I am scared of loud thunder.	thunder: 雷の音（光は lightning）。loud: （音が）大きい
a flash of lightning	ə flæʃ ʌv ˈlaɪtnɪŋ	稲妻の閃光	I saw a flash of lightning in the sky.	A bright flash of lightning hit the tree.	flash: 閃光。lightning: 稲妻
a clear blue sky	ə klɪr blu skaɪ	澄み切った青空	We enjoyed a picnic under a clear blue sky.	Tomorrow will be a clear blue sky.	clear: 澄んだ、晴れた
the moon influences the tides	ðə mun ˈɪnfluənsəz ðə taɪdz	月が潮の満ち引きに影響を与える	Science explains how the moon influences the tides.	The gravity of the moon influences the tides.	influence: 影響を与える。tide: 潮の満ち引き
calm weather	kɑm ˈwɛðər	穏やかな天気	We set sail in calm weather.	I love the calm weather in spring.	calm: 穏やかな、落ち着いた
heavy grey clouds	ˈhɛvi greɪ klaʊdz	どんよりとした（厚い）灰色の雲	Heavy grey clouds covered the sun.	It looks like rain with those heavy grey clouds.	heavy: （雨や雲が）激しい、重い
take an umbrella	teɪk ən əmˈbrɛlə	傘を持っていく	You should take an umbrella just in case.	I forgot to take an umbrella today.	take: 持っていく（反対の「持ってくる」は bring）。
slip on ice	slɪp ɑn aɪs	氷で滑って転ぶ	Be careful not to slip on ice.	He slipped on ice and fell.	slip: 滑る、滑って転ぶ
as solid as a rock	æz ˈsɑləd æz ə rɑk	岩のように硬い（頑丈な）	This foundation is as solid as a rock.	My belief is as solid as a rock.	solid: 固体の、硬い。「非常に頑丈な」という意味のイディオム。
a decayed tree limb	ə dɪˈkeɪd tri lɪm	腐った木の大枝	A decayed tree limb fell during the storm.	They cut down a decayed tree limb.	decayed: 腐敗した。limb: （木の）大枝、（人の）手足
the crisp autumn air	ðə krɪsp ˈɔtəm ɛr	さわやかな秋風	I love breathing the crisp autumn air.	We walked outside in the crisp autumn air.	crisp: さわやかな、パリッとした
toward the far horizon	tɔrd ðə fɑr həˈraɪzən	遠い地平線（水平線）の方へ	The ship sailed toward the far horizon.	He looked toward the far horizon.	toward: 〜に向かって。horizon: 地平線、水平線
a sudden drop in temperature	ə ˈsʌdən drɑp ɪn ˈtɛmprətʃər	急激な気温の低下	A sudden drop in temperature caused the snow.	We experienced a sudden drop in temperature.	drop: 低下、落ちること。temperature: 気温、温度
sink in the mud	sɪŋk ɪn ðə mʌd	泥の中に沈む	My boots began to sink in the mud.	The heavy truck sank in the mud.	sink: 沈む（過去形 sank）。mud: 泥
a shallow lake	ə ˈʃæloʊ leɪk	浅い湖	We can safely swim in a shallow lake.	Children were playing in a shallow lake.	shallow: 浅い。反対語は deep（深い）。
a muddy river	ə ˈmʌdi ˈrɪvər	泥だらけの（濁った）川	The heavy rain created a muddy river.	We couldn't see the bottom of a muddy river.	muddy: 泥の、濁った
It's freezing outside	ɪts ˈfrizɪŋ ˈaʊtˈsaɪd	外は凍えるほど寒い	Put on a coat because it's freezing outside.	It's freezing outside today.	freezing: 凍えるような、非常に寒い
a cool breeze	ə kul briz	涼しい風	A cool breeze felt good on a hot day.	We sat on the porch enjoying a cool breeze.	cool: 涼しい。breeze: そよ風
suffer from a flood	ˈsʌfər frʌm ə flʌd	洪水に遭う（被害を受ける）	Many towns suffer from a flood every year.	The village suffered from a flood.	suffer from: 〜に苦しむ。flood: 洪水
float on the ocean	floʊt ɑn ði ˈoʊʃən	海に浮かぶ	Wood can float on the ocean.	We saw a boat float on the ocean.	float: 浮かぶ。
see a bunch of stars	si ə bʌntʃ ʌv stɑrz	たくさんの星が見える	You can see a bunch of stars tonight.	We went camping to see a bunch of stars.	a bunch of: たくさんの、〜の束（カジュアルな表現）。
